direction_name,block_id,route_id,service_id,direction_id,trip_headsign,wheelchair_accessible,shape_id,trip_id,start_time,end_time
Eastbound,a_2079_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5883__2079_Timetable_-_2023-10,0 days 09:57:00,0 days 10:48:00
Eastbound,a_2035_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5884__2035_Timetable_-_2023-10,0 days 10:17:00,0 days 11:08:00
Eastbound,a_2031_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5885__2031_Timetable_-_2023-10,0 days 10:27:00,0 days 11:18:00
Eastbound,a_2006_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5886__2006_Timetable_-_2023-10,0 days 10:47:00,0 days 11:38:00
Eastbound,a_2064_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5887__2064_Timetable_-_2023-10,0 days 10:57:00,0 days 11:48:00
Eastbound,a_2033_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5888__2033_Timetable_-_2023-10,0 days 11:17:00,0 days 12:08:00
Eastbound,a_2025_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5889__2025_Timetable_-_2023-10,0 days 11:27:00,0 days 12:18:00
Northbound,a_4046_Timetable_-_2023-10,407,Weekday_merged_999971,0,Harmony Terminal,1,100.0.1952647813_Timetable_-_2023-10,588__4046_Timetable_-_2023-10,0 days 11:59:00,0 days 12:25:00
Eastbound,a_2076_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5890__2076_Timetable_-_2023-10,0 days 11:47:00,0 days 12:38:00
Eastbound,a_2059_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5891__2059_Timetable_-_2023-10,0 days 11:57:00,0 days 12:48:00
Eastbound,a_2079_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5892__2079_Timetable_-_2023-10,0 days 12:17:00,0 days 13:08:00
Eastbound,a_2035_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5893__2035_Timetable_-_2023-10,0 days 12:27:00,0 days 13:18:00
Eastbound,a_2031_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5894__2031_Timetable_-_2023-10,0 days 12:47:00,0 days 13:38:00
Eastbound,a_2006_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5895__2006_Timetable_-_2023-10,0 days 12:57:00,0 days 13:48:00
Eastbound,a_2064_Timetable_-_2023-10,900,Weekday_merged_999971,0,Oshawa,1,100.0.1952650224_Timetable_-_2023-10,5896__2064_Timetable_-_2023-10,0 days 13:17:00,0 days 14:08:00
